ID,Question,Expected Answer
1,"سؤال فقهي: 

ما هي أهمية الطهارة في الإسلام، وما الدليل من القرآن والسنة على ذلك؟ 

(يرجى ذكر الآيات والأحاديث المتعلقة بالطهارة).",أوَّلًا: أهميَّة الطَّهارةِ في الإسلامِ1- عنايةُ الإسلامِ بالطَّهارةِ:قال اللهُ تبارك وتعالى لنبيِّه صلَّى اللهُ عليه وسلَّم في مستهلِّ دَعوتِه:وَثِيَابَكَ فَطَهِّرْ[المدثر: 4]وقال صلَّى اللهُ عليه وسلَّم:((الطُّهورُ شَطرُ الإيمانِقال ابن رجب: (الصحيحُ الذي عليه الأكثرون: أنَّ المرادَ بالطُّهورِ هاهنا: التَّطهُّرُ بالماء مِن الأحداثِ) ((جامع العلوم والحكم)) (2/7).))رواه مسلم (223). من حديث أبي مالك الأشعريِّ رَضِيَ اللهُ عنه.2- محبَّةُ اللهِ سبحانه للمُتطهِّرين:قال اللهُ تعالى:إِنَّ اللهَ يُحِبّ...
2,**السؤال:** اذكر أقسام المياه كما اختلف فيها أهل العلم، مع توضيح معنى كل قسم وأدلة ذلك من حيث اللغة والشريعة.,اختلف أهلُ العِلمِ في أقسامِ المياهِ على أقوالٍ؛ أقواها قَولانِ:القول الأوّل:أنَّ الماءَ ثلاثةُ أقسامٍ: طَهورٌقال القرطبيُّ: (أجمعت الأمَّةُ لغةً وشريعةً على أنَّ وصفَ طَهورٍ يختصُّ بالماءِ، ولا يتعدَّى إلى سائِرِ المائعاتِ، وهي طاهرةٌ، فكان اقتصارُهم بذلك على الماءِ أدلَّ دليلٍ على أنَّ الطَّهورَ هو المطهِّرُ). ((الجامع لأحكام القرآن)) (13/41).، وطاهِرٌ، ونَجِسٌ، وهذا باتِّفاقِ المَذاهِبِ الفِقهيَّةِ الأربَعةِ في الجُملةلاختلافِهم في بعضِ المياه؛ هل تُلحَقُ بالطَّاهِرِ أو الطَّهورِ.: الحنفيَّة(...
3,"**السؤال:** عرف الماء المطلق واذكر أنواع الماء المطلق مع بيان حكم كل نوع من حيث الطهارة. 

**الإجابة النموذجية:** 
الماء المطلق هو الماء الباقي على أصل خلقته، وهو طاهر في نفسه مطهر لغيره. أما أنواع الماء المطلق فهي:

1. **ماء المطر:** وهو طاهر ومطهر، كما ورد في قوله تعالى: ""وَيُنَزِّلُ عَلَيْكُمْ مِنَ السَّمَاءِ مَاءً لِيُطَهِّرَكُمْ بِهِ"" [الأنفال: 11].
   
2. **ماء النهر:** وهو طاهر ومطهر.

3. **ماء البئر:** وهو طاهر ومطهر.

4. **ماء الثلج:** وهو طاهر ومطهر.

5. **ماء العيون:** وهو طاهر ومطهر.

6. **ماء البحر:** فيه خلاف بين العلماء، حيث أجمع البعض على طهارته، بينما قال آخرون إنه غير طاهر في بعض الحالات.

وبذلك، فإن جميع أنواع المياه مطهرة في نفسها، باستثناء ما يتعلق بماء البحر الذي فيه خلاف.",المطلب الأوَّل: تعريفُ الماءِ المُطلَقالماءُ المُطلَقُ:هو الماءُ الباقي على أصلِ خِلقَتِه((شرح منتهى الإرادات)) للبُهوتي (1/15).المطلب الثَّاني: أنواعُ الماء المُطلَقِقال ابنُ رُشد: (أجمَعَ العُلَماءُ على أنَّ جميعَ أنواعِ المياه طاهرةٌ في نَفسِها مطهِّرةٌ لغيرها، إلَّا ماءَ البَحرِ؛ فإنَّ فيه خلافًا في الصَّدرِ الأوَّل شاذًّا). ((بداية المجتهد)) (1/23).الفرع الأوَّل: ماءُ المَطرِقال الله تعالى:وَيُنَزِّلُ عَلَيْكُمْ مِنَ السَّمَاءِ مَاءً لِيُطَهِّرَكُمْ بِهِ[الأنفال: 11]الفرع الثَّاني: ماءُ الب...
4,"**السؤال:** ما هو تعريف الماء النجس، وما حكم الطهارة به وفقًا لما ورد في المبحث الثالث من الفقه؟ مع ذكر الدليل على ذلك. 

**الإجابة:** 
الماء النجس هو ما تغيَّر بنجاسةٍ بحيث يتغيَّر طعمه، أو لونه، أو ريحه. وحكم الطهارة بالماء النجس هو أنه لا تجوز الطهارة به. والدليل على ذلك هو الإجماع، حيث نقل ابن المنذر أن أهل العلم أجمَعوا على أن الماء القليل أو الكثير إذا وقعت فيه نجاسة فغيَّرت النجاسة الماء طعمًا، أو لونًا، أو ريحًا، فإنه يُعتبر نجسًا ما دام كذلك، ولا يُجزي الوضوء والاغتسال به.",المطلب الأوَّل: تعريفُ الماءِ النَّجِسِالماءُ النَّجِسُ:هو ما تغيَّر بنجاسةٍ، بحيث يتغيَّرُ بها طَعمُه، أو لَونُه، أو رِيحُه((الشرح الممتع)) لابن عثيمين (1/54).المطلب الثَّاني: حُكمُ الماءِ النَّجِسِلا تجوزُ الطَّهارةُ بالماءِ النَّجِسِ.الدَّليلُ مِنَ الإجماع:نقل الإجماعَ على ذلك: ابن المُنذِرقال ابن المُنذِر: (أجمَعَ أهلُ الِعلمِ على أنَّ الماءَ القَليلَ أو الكثيرَ إذا وقعت فيه نجاسةٌ، فغيَّرَتْ النجاسةُ الماءَ طعمًا، أو لونًا، أو ريحًا: أنَّه نجِسٌ ما دام كذلك، ولا يُجزي الوضوءُ والاغتسالُ به)...
5,"**السؤال:**

إذا لاقى الماء نجاسة، فغيَّرت أحد أوصافه من طعم أو لون أو رائحة، فما الحكم الفقهي لهذا الماء؟ وما هو الدليل على ذلك من الإجماع؟ 

**الإجابة:**

الحكم الفقهي هو أن الماء يصبح نجسًا إذا تغيَّر أحد أوصافه (طعم، لون، رائحة) بسبب النجاسة، سواء كان الماء قليلًا أو كثيرًا. والدليل على ذلك هو الإجماع بين الفقهاء، حيث نقل عن الشافعي أنه قال: ""إذا تغيَّر طَعمُ الماءِ أو ريحُه أو لونُه، كان نجسًا... هو قول العامَّة لا أعلم بينهم فيه اختلافًا"".",الفرع الأوَّل: إذا تغيَّرَ الماءُ بالنَّجاسةِإذا لاقى الماءَ نجاسةٌ، فغيَّرَت أحَدَ أوصافِه: مِن طَعمٍ، أو لونٍ، أو رائحةٍ؛ فهو نجِسٌ، قليلًا كان أو كثيرًا.الدليل من الإجماع:نقل الإجماعَ على ذلكحُكي عن عبد الملك بن الماجشون، أنَّ التغيرَ بالرَّائحة لا يضرُّ، وهو قولٌ شاذٌّ. ((الذخيرة)) للقرافي (1/163).:الشافعيُّقالالشافعيُّ: (...إذا تغيَّرَ طَعمُ الماءِ أو ريحُه أو لونُه، كان نجسًا... هو قول العامَّة لا أعلم بينهم فيه اختلافًا) ((الأم)) (1/43).، وابنُ المُنذِرقال ابن المُنذِر: (وأجمعوا على أنَّ ...
6,"**السؤال:** ما حكم الماء الذي اختلط بطاهر غير ممازج، مثل الدهن أو قطع الكافور، إذا لم يتغير طعمه أو لونه أو رائحته؟ 

**أ) الماء طاهر ولا يجوز استخدامه في الطهارة.**  
**ب) الماء طهور ويجوز استخدامه في الطهارة.**  
**ج) الماء نجس ويجب التخلص منه.**  
**د) الماء طاهر ولكن لا يجوز استخدامه في الوضوء.**  

**الإجابة الصحيحة:** **ب) الماء طهور ويجوز استخدامه في الطهارة.**",الفرع الأوَّل: المُختَلِط بطاهرٍ غيرِ مُمازِجإذا تغيَّرَ الماءُ بدُهْنٍ، أو قِطَع كافورٍ، أو عَنبرٍ، وغيرِ ذلك ممَّا لا يُستهلَك في الماء، ولا يتحلَّلُ فيه؛ فالماءُ طَهورٌ، وهذا مَذهَبُ الجُمهورِ: الحنفيَّة((حاشية الطحطاوي على مراقي الفلاح)) (ص: 18)، وينظر: ((فتح القدير)) للكمال ابن الهمام (1/72).، والشافعيَّة((المجموع)) للنووي (1/105)، وينظر: ((الأم)) للشافعي (1/28،29).، والحنابلة((الإنصاف)) للمرداوي (1/31)، ((كشاف القناع)) للبُهوتي (1/32).، وهو قولٌ عند المالكيَّة((مواهب الجليل)) للحطَّاب (1/7...
7,"**السؤال:**

ما هو تعريف الماء المستعمل في رفع الحدث، وما حكم استخدامه في الطهارة؟ مع ذكر بعض الأمثلة على الأماكن التي يمكن أن يوجد فيها هذا الماء. 

**الإجابة:**

الماء المستعمل هو الماء المتقاطر من الأعضاء بعد الوضوء أو الغسل، وهو طاهر في نفسه ومطهر لغيره. يُمكن استخدامه في الطهارة، ولا يُكره التطهر بشيء منه. ومن الأمثلة على الأماكن التي يمكن أن يوجد فيها هذا الماء: الحياض، البرك، الحمامات، الطرقات، وأبواب المساجد.",الماءُ المُستعمَلالماء المستعمَل: هو الماء المتقاطر مِن الأعضاء في وضوءٍ أو غُسل. قال ابن عثيمين: (الاستعمالُ: أن يمرَّ الماءُ على العُضوِ، ويتساقَطُ منه، وليس الماءُ المستعملُ هو الذي يُغتَرَف منه. بل هو الذي يتساقَطُ بعد الغَسلِ به) ((الشرح الممتع)) (1/36).في رَفعِ الحدَثِ مِن الوضوءِ والغُسلِ؛ طاهرٌ في نفسِه، مُطهِّرٌ لغَيرِهثمرة المسألة: أنَّ جميعَ المياهِ التي في الحياض والبِرَك، في الحماماتِ والطُّرقاتِ، وعلى أبواب المساجِدِ، وفي المدارس وغير ذلك؛ لا يُكره التطهُّرُ بشيءٍ منها، وإن سقط فيه...
8,"**السؤال:**

ما هو الحكم الفقهي للماء المستعمل في طهارة مستحبّة مثل تجديد الوضوء، وما هي المذاهب الفقهية التي تتبنى هذا الحكم؟ 

**الإجابة:**

الماء المستعمل في طهارة مستحبّة، مثل تجديد الوضوء، يُعتبر طهورًا. وهذا مذهب الجمهور من الفقهاء، بما في ذلك المالكية، والشافعية في الأصح، والحنابلة، والظاهرية، وزُفَر من الحنفية.",الماءُ المستعملُ في طهارةٍ مستحبَّةٍ- كتجديدِ وضوءٍ ونحوه- طهورٌ، وهذا مَذهَبُ الجُمهورِ: المالكيَّة((مواهب الجليل)) للحطَّاب (1/97)، ((التاج والإكليل)) للمواق (1/69).، والشافعيَّة في الأصحِّ((روضة الطالبين)) للنووي (1/7)، وينظر: ((الحاوي الكبير)) للماوردي (1/303،304).، والحنابلة((كشاف القناع)) للبُهوتي (1/33)، وينظر: ((الشرح الكبير)) لشمس الدِّين ابن قدامة (1/16).، والظاهريَّة((المحلى)) لابن حزم (1/182)، ((تفسير القرطبي)) (13/48).، وزُفَرَمِنَ الحنفيَّة((الهداية شرح البداية)) للميرغيناني (1/19)...
9,"**السؤال:**

ما هو حكم الماء المستعمل في التبرد والنظافة في المذاهب الفقهية المختلفة، وما هو الدليل على ذلك؟ 

**الإجابة:**

حكم الماء المستعمل في التبرد والنظافة هو أنه طهور، وهذا هو مذهب الجمهور من الفقهاء، حيث اتفق المالكية والشافعية والحنابلة والظاهرية على ذلك. وقد حُكيَ فيه الإجماع، كما ذكر في كتب الفقه مثل ""مواهب الجليل"" للحطاب و""مغني المحتاج"" للشربيني و""الإنصاف"" للمرداوي.",الماءُ المستعمَلُ في التبرُّدِ والنَّظافةِ؛ طهورٌ، وهو مذهَبُ الجمهورِ: المالكيَّة((مواهب الجليل)) للحطَّاب (1/97)، وينظر: ((شرح مختصر خليل)) للخرشي (1/75).، والشافعيَّة((مغني المحتاج)) للشربيني (1/20)، وينظر: ((الحاوي الكبير)) للماوردي (1/297، 298).، والحنابلة((الإنصاف)) للمرداوي (1/41)، وينظر: ((الشرح الكبير)) لشمس الدين ابن قدامة (1/16).، وهو مذهَبُ الظَّاهريَّة((المحلى)) لابن حزم (1/182).، وبه قالزُفَرُومحمَّد بن الحسنمن الحنفيَّة((المبسوط)) للسرخسي (1/83).وحُكِيَ فيه الإجماعُقال شمس الدين ا...
10,"**السؤال:**

ما حكم الماء المستعمل بغمس يد القائم من النوم، وما هو السبب في النهي الذي ورد عن النبي صلى الله عليه وسلم في هذا الشأن؟ 

**أ) الماء المستعمل بغمس يد القائم من النوم طاهر، لأن الوهم لا يزيل الطهورية المتيقنة.**

**ب) الماء المستعمل بغمس يد القائم من النوم غير طاهر، لأن اليد قد تكون نجسة.**

**ج) الماء المستعمل بغمس يد القائم من النوم طاهر، ولكن يجب غسل اليد قبل الغمس.**

**د) الماء المستعمل بغمس يد القائم من النوم طاهر، ولكن النهي تعبدي ولا يؤثر على الطهورية.**

**اختر الإجابة الصحيحة مع ذكر السبب.**",الماءُ المستعمَل بغَمسِ يَدِ القائِمِ مِنَ النَّومِ؛ طَهورٌأمَّا نَهْيُ النبيِّ صلَّى اللهُ عليه وسلَّم القائمَ مِنَ النَّومِ عَن غَمسِ يده في الإناءِ، كما رواه مسلم، فهو إنْ كان لِوَهمِ النجاسةِ، فإنَّ الوَهمَ لا يُزيلُ الطُّهوريَّة المتيقَّنة، وإن كان تعبُّدًا، اقتُصِرَ على مَورِدِ النصِّ، وهو مشروعيَّة الغُسل. ينظر: ((الشرح الكبير)) لشمس الدين ابن قدامة (1/17).، وهذا ا مَذهَبُ الجُمهورِ:قال ابن عبدِ البَرِّ: (... فإن أدخل يدَه أحدٌ بعد قيامِه من نومه في وضوئِه قبل أن يغسِلَها، ويده نظيفةٌ لا ...
11,"**السؤال:** ما هو حكم الماء المستعمل في إزالة النجاسة إذا تغيّر أحد أوصافه (كالطعم أو اللون أو الريح) نتيجة لذلك، وما هو الدليل على هذا الحكم؟

**الإجابة:** الماء المستعمل في إزالة النجاسة إذا تغيّر أحد أوصافه بالنجاسة، فهو نجس. والدليل على ذلك هو الإجماع، حيث نقل النووي أن العلماء أجمعوا على أن الماء الذي انفصل متغيّرًا بالنجاسة هو نجس، سواء كان التغير قليلًا أو كثيرًا.","الفرع الأوَّل: الماءُ المستعمَلُ في إزالة النَّجاسة، وتغَيَّر أحدُ أوصافهالماء الذي أُزيلَت به النَّجاسة إن تغيَّرَ أحدُ أوصافهِ بالنجاسةِ، فهو نَجِسٌ.الدَّليلُ مِنَ الإجماعِ:نقل الإجماعَ على ذلك:النوويُّقال النووي: (إذا انفصلت متغيِّرةً، فهي نجسةٌ بإجماعِ المسلمين، سواء تغيَّرَ طَعمُها، أو لونُها، أو ريحُها، وسواء كان التغيرُ قليلًا أو كثيرًا) ((شرح النووي على مسلم)) (3/191)، ((روضة الطالبين)) (1/34).، وابنُ قُدامةقال ابن قدامة: (المنفصِلُ من غُسالةِ النجاسة, ينقسِمُ إلى ثلاثة أقسام: أحدها: أن ..."
